lokasi;LT;LB;KT;KM;listrik;garasi_carport;harga
Kabupaten Bekasi;60;30;2;1;1300;Ada;168000000
Kabupaten Bekasi;75;72;3;2;2200;Ada;586000000
Kota Bekasi;81;70;3;2;2200;Ada;859946000
Kota Bekasi;160;160;3;3;4400;Ada;1950000000
Kota Bekasi;135;110;3;3;2200;Ada;1200000000
Kabupaten Bekasi;60;60;2;2;1300;Ada;399000000
Kota Bekasi;160;180;4;2;2200;Ada;1400000000
Kabupaten Bekasi;90;45;2;1;900;Ada;420000000
Kota Bekasi;105;130;3;3;2200;Ada;1200000000
Kota Bekasi;200;250;4;3;2200;Ada;2300000000
Kota Bekasi;50;60;3;2;2200;Ada;647000000
Kota Bekasi;65;105;3;2;2200;Ada;1190000000
Kota Bekasi;156;150;7;2;2200;Tidak ada;1200000000
Kota Bekasi;320;300;3;3;2200;Ada;2500000000
Kota Bekasi;144;180;4;3;4400;Ada;2690000000
Kota Bekasi;108;47;2;1;1300;Ada;1000000000
Kota Bekasi;180;220;5;3;2200;Tidak ada;1600000000
Kabupaten Bekasi;140;250;3;2;2200;Tidak ada;850000000
Kabupaten Bekasi;60;55;2;1;1300;Tidak ada;250000000
Kabupaten Bekasi;36;60;2;1;1300;Tidak ada;300000000
Kota Jakarta;202;198;8;3;2200;Tidak ada;4500000000
Kota Jakarta;30;55;2;1;2200;Ada;1100000000
Kota Jakarta;19;35;2;1;2200;Tidak ada;395000000
Kota Jakarta;33;42;2;2;2200;Ada;835000000
Kota Jakarta;30;55;2;2;2200;Ada;1100000000
Kota Jakarta;217;245;6;4;4400;Ada;5500000000
Kota Jakarta;60;98;3;3;2200;Ada;1700000000
Kota Jakarta;33;42;2;1;2200;Ada;835000000
Kota Jakarta;71;83;3;2;2200;Ada;1880000000
Kota Jakarta;75;260;10;10;3500;Ada;5300000000
Kota Jakarta;45;71;3;2;2200;Ada;1390000000
Kota Jakarta;24;46;2;1;2200;Tidak ada;450000000
Kota Jakarta;3422;64;1;1;2200;Ada;1050000000
Kota Jakarta;23;40;2;2;2200;Ada;735000000
Kota Jakarta;50;115;3;2;2200;Ada;1200000000
Kota Jakarta;21;37;2;1;1300;Tidak ada;533000000
Kota Jakarta;16;32;1;1;2200;Tidak ada;380000000
Kota Jakarta;18;33;2;1;2200;Tidak ada;425000000
Kota Jakarta;390;200;7;2;1300;Ada;3500000000
Kota Jakarta;225;425;5;4;3500;Ada;9500000000
Kota Jakarta;290;460;7;5;3500;Ada;8250000000
Kota Jakarta;432;400;3;2;2200;Ada;10500000000
Kota Jakarta;239;178;4;3;2200;Ada;3800000000
Kota Jakarta;130;250;5;3;3500;Tidak ada;3900000000
Kota Jakarta;90;135;3;3;2200;Ada;3100000000
Kota Jakarta;205;410;6;5;4400;Ada;5500000000
Kota Jakarta;695;650;8;6;5500;Ada;9200000000
Kota Jakarta;135;216;5;4;3500;Ada;4100000000
Kota Jakarta;60;48;3;2;2200;Ada;600000000
Kota Jakarta;840;800;5;4;3500;Ada;50000000000
Kota Jakarta;85;180;3;2;5500;Tidak ada;2400000000
Kota Jakarta;47;90;3;3;2200;Ada;1300000000
Kota Jakarta;90;102;4;3;4400;Tidak ada;1700000000
Kota Jakarta;84;200;6;4;4400;Tidak ada;3800000000
Kota Jakarta;147;82;3;3;2200;Ada;2288809000
Kota Jakarta;49;80;3;2;2200;Tidak ada;850000000
Kota Jakarta;52;72;1;2;2200;Ada;1000000000
Kota Jakarta;79;160;3;2;3500;Ada;1250000000
Kota Jakarta;140;202;5;4;3500;Ada;3400000000
Kota Jakarta;400;750;4;3;5500;Ada;8000000000
Kota Jakarta;119;154;2;2;3500;Tidak ada;2500000000
Kota Jakarta;184;250;5;4;4400;Ada;3200000000
Kota Jakarta;90;200;3;3;3500;Ada;1900000000
Kota Jakarta;863;500;5;3;3500;Ada;8630000000
Kota Jakarta;140;224;3;2;3500;Ada;3500000000
Kota Jakarta;120;110;5;2;2200;Ada;1700000000
Kota Jakarta;200;248;4;4;3500;Ada;6518000000
Kota Jakarta;60;31;2;1;1300;Ada;497322000
Kota Jakarta;120;240;3;3;4400;Ada;30000000000
Kota Jakarta;128;250;4;3;5500;Ada;3099000000
Kota Jakarta;300;400;5;4;5500;Ada;4200000000
Kota Jakarta;90;200;3;3;3500;Ada;1900000000
Kota Jakarta;168;220;4;4;3500;Tidak ada;4500000000
Kota Jakarta;160;275;5;5;3500;Ada;4850000000
Kota Jakarta;130;90;4;3;4400;Ada;2100000000
Kota Jakarta;170;325;5;4;3500;Ada;4750000000
Kota Jakarta;98;126;4;4;2200;Ada;35000000000
Kota Jakarta;144;250;4;4;4400;Ada;8200000000
Kota Jakarta;260;300;3;2;2200;Ada;39500000000
Kota Jakarta;144;297;5;3;4400;Ada;8500000000
Kota Jakarta;162;140;4;4;2200;Ada;1500000000
Kota Jakarta;60;39;1;2;2200;Ada;718421053
Kota Jakarta;90;36;1;2;1300;Ada;498000000
Kota Jakarta;36;21;1;1;1300;Ada;440000000
Kota Jakarta;150;350;10;10;900;Ada;3000000000
Kota Jakarta;90;267;5;5;3500;Ada;4500000000
Kota Jakarta;150;200;3;2;2200;Ada;3100000000
Kota Jakarta;240;200;3;1;1300;Ada;2300000000
Kota Jakarta;250;350;5;4;4400;Ada;2700000000
Kota Jakarta;175;512;6;5;5500;Ada;7250000000
Kota Jakarta;200;300;5;5;4400;Ada;5900000000
Kota Jakarta;375;198;7;3;1300;Ada;2400000000
Kota Jakarta;320;600;5;5;5500;Ada;7500000000
Kota Jakarta;160;482;8;6;1300;Tidak ada;4500000000
Kota Jakarta;120;160;3;3;4400;Tidak ada;4500000000
Kota Jakarta;80;105;4;3;4400;Ada;2500000000
Kota Jakarta;153;180;5;5;3500;Ada;5500000000
Kota Jakarta;30;60;3;2;1300;Ada;420000000
Kota Jakarta;317;200;4;2;2200;Ada;3500000000
Kota Jakarta;90;75;4;3;2200;Ada;1650000000
Kota Jakarta;124;150;6;4;3500;Ada;2350000000
Kota Jakarta;98;115;4;5;3500;Ada;2750000000
Kota Jakarta;95;250;4;4;4400;Ada;3300000000
Kota Jakarta;100;170;4;4;3500;Ada;2500000000
Kota Jakarta;72;69;3;2;2200;Ada;890000000
Kota Jakarta;72;97;3;2;2200;Ada;1310000000
Kota Jakarta;112;156;4;3;3500;Ada;3600000000
Kota Jakarta;69;102;3;2;2200;Ada;2230000000
Kota Jakarta;109;160;5;4;2200;Ada;2400000000
Kota Jakarta;86;45;2;1;1300;Ada;690000000
Kota Jakarta;96;69;3;3;2200;Tidak ada;1600000000
Kota Jakarta;67;134;3;2;2200;Ada;1150000000
Kota Jakarta;122;160;5;5;2200;Ada;2465000000
Kota Jakarta;90;90;3;2;2200;Ada;1398000000
Kota Jakarta;220;239;5;4;3500;Ada;3850000000
Kota Jakarta;70;57;3;2;2200;Ada;880000000
Kota Jakarta;315;280;4;3;3500;Ada;4300000000
Kota Jakarta;135;190;5;5;2200;Ada;3400000000
Kota Jakarta;144;250;5;5;3500;Ada;2250000000
Kota Tangerang;60;50;3;2;1300;Tidak ada;500000000
Kota Tangerang;72;54;2;1;1300;Ada;480000000
Kota Tangerang;60;48;3;2;2200;Ada;600000000
Kota Tangerang;200;225;5;4;5500;Tidak ada;4250000000
Kota Tangerang;76;123;3;3;2200;Ada;1700000000
Kota Tangerang;60;36;2;1;1300;Ada;830000000
Kota Tangerang;37;72;2;1;2200;Ada;450000000
Kota Tangerang;72;45;2;1;1300;Ada;148000000
Kota Tangerang;151;120;2;2;1300;Ada;760000000
Kota Tangerang;160;160;3;2;3500;Tidak ada;1200000000
Kota Tangerang;60;48;3;2;2200;Ada;600000000
Kota Tangerang;180;130;3;2;2200;Tidak ada;1500000000
Kota Tangerang;78;130;2;2;2200;Tidak ada;980000000
Kota Tangerang;72;40;2;1;1300;Ada;500000000
Kota Tangerang;119;119;4;2;2200;Ada;2200000000
Kota Tangerang;90;72;2;1;2200;Ada;600000000
Kota Tangerang;250;360;5;4;4400;Ada;2900000000
Kota Tangerang;144;117;3;3;2200;Ada;1950000000
Kota Tangerang;96;75;3;2;2200;Ada;600000000
Kota Tangerang;160;120;3;2;2200;Ada;1200000000
Kota Tangerang;224;184;3;3;2200;Tidak ada;1250000000
Kota Tangerang;90;108;3;2;2200;Ada;1550000000
Kota Tangerang;216;140;3;2;2200;Ada;1700000000
Kota Tangerang;189;100;3;2;2200;Ada;1800000000
Kota Tangerang;265;100;3;2;2200;Ada;2400000000
Kota Tangerang;162;180;3;3;2200;Ada;1490000000
Kota Tangerang;90;125;3;2;2200;Tidak ada;1600000000
Kota Tangerang;144;130;3;2;2200;Ada;1250000000
Kota Tangerang;84;85;3;2;3500;Ada;2050000000
Kota Tangerang;155;100;3;2;2200;Ada;1050000000
Kota Tangerang;128;88;3;3;2200;Ada;95000000
Kota Tangerang;105;45;2;1;2200;Ada;1550000000
Kota Tangerang;205;298;4;4;4400;Ada;4700000000
Kota Tangerang;128;88;3;3;2200;Ada;2200000000
Kota Tangerang;96;138;4;3;2200;Tidak ada;2300000000
Kota Tangerang;295;272;4;3;2200;Ada;5500000000
Kota Tangerang;96;138;4;3;2200;Ada;2300000000
Kota Tangerang;60;48;3;2;2200;Ada;600000000
